customer_id,first_name,last_name,dob,gender,city,state,phone,annual_income,employment_type,cibil_score,education,marital_status
CUST00001,Ayaan,Sharma,1977-05-04,Male,Patna,Bihar,9131994523,62840.0,Salaried,667.0,Graduate,Married
CUST00002,Sunita,Nair,1994-02-25,Female,Patna,Bihar,9914763202,67767.0,Business Owner,817.0,High School,Married
CUST00003,Riya,Iyer,1999-04-02,Male,Delhi,Delhi,9883543540,43604.0,Retired,658.0,High School,Married
CUST00004,Sai,Pillai,2002-03-16,Female,Gurgaon,Haryana,9810026086,107969.0,Salaried,749.0,Post Graduate,Married
CUST00005,Kiara,Patel,1977-06-21,Male,Bengaluru,Karnataka,9853573823,38764.0,Self-Employed,728.0,High School,Single
CUST00006,Ramesh,Joshi,1985-09-26,Female,Nashik,Maharashtra,9345938494,38882.0,Retired,638.0,Post Graduate,Married
CUST00007,Riya,Gupta,1990-06-11,Male,Delhi,Delhi,9592688426,55325.0,Self-Employed,507.0,Not Graduate,Divorced
CUST00008,Sunita,Pillai,1998-07-06,Male,Gurgaon,Haryana,9647099690,20692.0,Salaried,629.0,Post Graduate,Married
CUST00009,Ishaan,Reddy,1995-07-12,Male,Bhubaneswar,Odisha,9112327652,29542.0,Business Owner,708.0,Not Graduate,Divorced
CUST00010,Karan,Patel,1984-07-03,Female,Gurgaon,Haryana,9645119047,,Self-Employed,552.0,High School,Married
CUST00011,Ishaan,Singh,1972-03-31,Female,Bhubaneswar,Odisha,9120912992,102009.0,Business Owner,659.0,Graduate,Single
CUST00012,Myra,Verma,2004-05-21,Female,Delhi,Delhi,9922308461,50704.0,Self-Employed,551.0,Graduate,Divorced
CUST00013,Anika,Desai,1992-03-18,Female,Ahmedabad,Gujarat,9821218382,37339.0,Retired,689.0,Post Graduate,Single
CUST00014,Ayaan,Joshi,1967-11-16,Male,Delhi,Delhi,9860038427,27570.0,Salaried,713.0,Post Graduate,
CUST00015,Aditya,Kulkarni,1988-01-24,Female,Pune,Maharashtra,9718702544,36303.0,Retired,653.0,Post Graduate,Divorced
CUST00016,Saanvi,Patel,1994-07-24,Female,Pune,Maharashtra,9205675387,36284.0,Salaried,846.0,Graduate,Divorced
CUST00017,Myra,Nair,1989-01-21,Male,Delhi,Delhi,9575808013,48691.0,Salaried,584.0,Post Graduate,Married
CUST00018,Ramesh,Sharma,1998-10-21,Female,Pune,Maharashtra,9276777762,73959.0,Business Owner,570.0,Post Graduate,Married
CUST00019,Isha,Rao,1996-03-31,Male,Bengaluru,Karnataka,9333754555,54416.0,Business Owner,503.0,Not Graduate,Single
CUST00020,Vihaan,Verma,1986-05-22,Male,Kochi,Kerala,9738914080,25232.0,Retired,697.0,Graduate,Married
CUST00021,Ayaan,Menon,1990-12-21,Male,Delhi,Delhi,9819112790,70914.0,Business Owner,695.0,High School,Married
CUST00022,Meera,Iyer,1993-12-15,Male,Kolkata,West Bengal,9766964667,46266.0,Salaried,652.0,Graduate,
